DATE,DSF,OPEN SD,COMMENTS
30-Oct-15,0,0,
31-Oct-15,1.6,1.5,
01-Nov-15,0.5,2.5,
02-Nov-15,0,2.33,
03-Nov-15,0,2,
04-Nov-15,3.5,5.67,
05-Nov-15,0,5,
06-Nov-15,2,6,
07-Nov-15,0,5.5,
08-Nov-15,6.5,10,"* The last days we missed due to Haines and Yukon Forum, used trail cameras to determine when snow actually fell"
09-Nov-15,0,9.17,
10-Nov-15,1.4,9,
11-Nov-15,0.1,9.67,
12-Nov-15,3.5,13.17,
13-Nov-15,7.5,19.67,* started taking continuous snow hardness data from here on
14-Nov-15,0.6,18.67,
15-Nov-15,1.6,19,
16-Nov-15,0.2,19,
17-Nov-15,0.1,18,
18-Nov-15,0.1,17.33,
19-Nov-15,0,NA,
20-Nov-15,0.4,17.33,
21-Nov-15,0.1,16.33,
22-Nov-15,0.7,16.33,
23-Nov-15,0.1,15.33,
24-Nov-15,0.1,16,
25-Nov-15,0,16.67,
26-Nov-15,0,14.33,
27-Nov-15,0,15.67,
28-Nov-15,0.7,15.67,
29-Nov-15,2.5,17.67,
30-Nov-15,3.2,20.33,
01-Dec-15,3.1,19.33,
02-Dec-15,0.1,20.33,
03-Dec-15,0,21,
04-Dec-15,0,NA,
05-Dec-15,0,21,
06-Dec-15,0.8,20.33,
07-Dec-15,1.9,23.67,
08-Dec-15,0.2,23.33,
09-Dec-15,0.4,22.67,
10-Dec-15,0,NA,
11-Dec-15,0.1,22.33,
12-Dec-15,0.2,22.33,
13-Dec-15,0,NA,
14-Dec-15,0.1,21.33,
15-Dec-15,0,NA,
16-Dec-15,0,NA,
17-Dec-15,0.2,NA,
18-Dec-15,0,21,
19-Dec-15,0.2,NA,
20-Dec-15,1.3,NA,
21-Dec-15,1.6,NA,
22-Dec-15,0,NA,
23-Dec-15,0.5,NA,
24-Dec-15,0,27.33,
25-Dec-15,0,NA,
26-Dec-15,0.5,27.33,
27-Dec-15,0,NA,
28-Dec-15,0,NA,
29-Dec-15,0.2,26,
30-Dec-15,0,NA,
31-Dec-15,5.5,NA,
01-Jan-16,0.1,28.83,
02-Jan-16,0,NA,
03-Jan-16,0.1,29.5,
04-Jan-16,0,NA,
05-Jan-16,0,NA,
06-Jan-16,0,NA,
07-Jan-16,0.1,NA,
08-Jan-16,0,NA,
09-Jan-16,0,27.5,
10-Jan-16,0,NA,
11-Jan-16,0.1,28.67,
12-Jan-16,0.4,NA,
13-Jan-16,0.7,27.33,
14-Jan-16,0,NA,
15-Jan-16,1.4,29,
16-Jan-16,0.4,28,
17-Jan-16,0.5,28.83,
18-Jan-16,0.7,29.67,
19-Jan-16,0,NA,
20-Jan-16,0,NA,* used trail cameras to figure out when it snowed
21-Jan-16,1.7,31.5,
22-Jan-16,1.1,29.5,
23-Jan-16,0.4,30.67,
24-Jan-16,0.2,31.67,
25-Jan-16,0.1,30.17,
26-Jan-16,0.6,30.17,
27-Jan-16,0,NA,
28-Jan-16,1.1,32.33,
29-Jan-16,0,31.67,
30-Jan-16,6.7,37,
31-Jan-16,3,41,
01-Feb-16,0.2,39,
02-Feb-16,0.1,38.25,
03-Feb-16,0.5,38.5,
04-Feb-16,1.5,40,
05-Feb-16,0,NA,
06-Feb-16,0.5,38.17,
